old_path	new_path	source	confidence
sources/sources/com/tsf/shell/f/e/b/f.java	sources/sources/com/tsf/shell/f/e/b/ResizeShader.java	direct_diff	95
sources/sources/com/tsf/shell/f/e/b/c.java	sources/sources/com/tsf/shell/f/e/b/ResizeState.java	direct_diff	87
sources/sources/com/tsf/shell/f/e/b/e.java	sources/sources/com/tsf/shell/f/e/b/ResizeTextureManager.java	direct_diff	96
sources/sources/com/tsf/shell/f/e/c/a.java	sources/sources/com/tsf/shell/f/e/c/AnimationNode.java	direct_diff	88
sources/sources/com/tsf/shell/f/e/c/b.java	sources/sources/com/tsf/shell/f/e/c/MeshRenderer.java	direct_diff	97
sources/sources/com/tsf/shell/f/e/c/a/b.java	sources/sources/com/tsf/shell/f/e/c/a/PageContainer.java	direct_diff	93
sources/sources/com/tsf/shell/f/e/c/a/a.java	sources/sources/com/tsf/shell/f/e/c/a/PageFrame.java	direct_diff	92
sources/sources/com/tsf/shell/f/e/c/a/d.java	sources/sources/com/tsf/shell/f/e/c/a/PageScrollState.java	direct_diff	88
sources/sources/com/tsf/shell/f/e/c/a/c.java	sources/sources/com/tsf/shell/f/e/c/a/ScrollManager.java	direct_diff	87
sources/sources/com/tsf/shell/f/e/c/a/e.java	sources/sources/com/tsf/shell/f/e/c/a/ScrollOffset.java	direct_diff	89
sources/sources/com/tsf/shell/f/e/d/a/d.java	sources/sources/com/tsf/shell/f/e/d/a/DropIndicatorConfig.java	direct_diff	61
sources/sources/com/tsf/shell/f/e/d/a/b.java	sources/sources/com/tsf/shell/f/e/d/a/DropIndicatorRenderer.java	direct_diff	84
sources/sources/com/tsf/shell/f/e/e/c.java	sources/sources/com/tsf/shell/f/e/e/ItemAnimationController.java	direct_diff	43
sources/sources/com/tsf/shell/f/e/e/f.java	sources/sources/com/tsf/shell/f/e/e/ItemCleanupTask.java	direct_diff	63
sources/sources/com/tsf/shell/f/e/e/b.java	sources/sources/com/tsf/shell/f/e/e/ItemContainerNode.java	direct_diff	82
sources/sources/com/tsf/shell/f/e/e/a.java	sources/sources/com/tsf/shell/f/e/e/ItemNode.java	direct_diff	60
sources/sources/com/tsf/shell/f/e/e/e.java	sources/sources/com/tsf/shell/f/e/e/ItemRowItem.java	direct_diff	28
sources/sources/com/tsf/shell/f/e/f/b.java	sources/sources/com/tsf/shell/f/e/f/EditModeNode.java	direct_diff	91
sources/sources/com/tsf/shell/f/e/h/b.java	sources/sources/com/tsf/shell/f/e/h/IconEditorConfig.java	direct_diff	79
sources/sources/com/tsf/shell/f/e/h/a.java	sources/sources/com/tsf/shell/f/e/h/PhotoPicker.java	direct_diff	78
sources/sources/com/tsf/shell/f/e/i/b.java	sources/sources/com/tsf/shell/f/e/i/GridLayoutData.java	direct_diff	83
sources/sources/com/tsf/shell/f/e/i/a.java	sources/sources/com/tsf/shell/f/e/i/GridLayoutNode.java	direct_diff	65
